"","Classes","AIC","BIC","LogLikelihood","Entropy"
"1",2,2046.89204541079,2217.93732913952,-962.446022705395,0.93182184807879
"2",3,2034.82604745917,2292.79598357463,-925.413023729585,0.968320516157437
"3",4,2023.05722096614,2367.95180946833,-888.528610483071,0.937014832494394
"4",5,2042.5104667069,2474.32970759582,-867.255233353451,0.94928610141223
